title,source,sentence,normalized_text,sentence_list,candidate_block
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"Introduction Methotrexate is a folic acid antagonist, commonly prescribed for conditions such as rheumatoid arthritis, Crohn’s disease, severe psoriasis and some cancers.","introduction methotrexate is a folic acid antagonist, commonly prescribed for conditions such as rheumatoid arthritis, crohn’s disease, severe psoriasis and some cancers.","['introduction methotrexate is a folic acid antagonist, commonly prescribed for conditions such as rheumatoid arthritis, crohn’s disease, severe psoriasis and some cancers.']","introduction methotrexate is a folic acid antagonist, commonly prescribed for conditions such as rheumatoid arthritis, crohn’s disease, severe psoriasis and some cancers."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"Methotrexate has a narrow therapeutic index, and higher doses can result in potentially fatal adverse events including blood disorders, liver toxicity, and shortness of breath.","methotrexate has a narrow therapeutic index, and higher doses can result in potentially fatal adverse events including blood disorders, liver toxicity, and shortness of breath.","['methotrexate has a narrow therapeutic index, and higher doses can result in potentially fatal adverse events including blood disorders, liver toxicity, and shortness of breath.']","methotrexate has a narrow therapeutic index, and higher doses can result in potentially fatal adverse events including blood disorders, liver toxicity, and shortness of breath."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"[ 1 ] Due to its narrow therapeutic index, and an unusual once-weekly dosing regimen, this drug presents a particularly high risk of accidental overdose: patients may incorrectly take methotrexate on a daily basis; and overdose may occur due to dispensing or prescribing errors.","[ 1 ] due to its narrow therapeutic index, and an unusual once-weekly dosing regimen, this drug presents a particularly high risk of accidental overdose: patients may incorrectly take methotrexate on a daily basis; and overdose may occur due to dispensing or prescribing errors.","['[ 1 ] due to its narrow therapeutic index, and an unusual once-weekly dosing regimen, this drug presents a particularly high risk of accidental overdose: patients may incorrectly take methotrexate on a daily basis; and overdose may occur due to dispensing or prescribing errors.']","[ 1 ] due to its narrow therapeutic index, and an unusual once-weekly dosing regimen, this drug presents a particularly high risk of accidental overdose: patients may incorrectly take methotrexate on a daily basis; and overdose may occur due to dispensing or prescribing errors."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"The British National Formulary (BNF) states that methotrexate should only usually be prescribed in a single strength of tablet, usually 2.5mg, to reduce the risk of harm from errors.","the british national formulary (bnf) states that methotrexate should only usually be prescribed in a single strength of tablet, usually 2.5mg, to reduce the risk of harm from errors.","['the british national formulary (bnf) states that methotrexate should only usually be prescribed in a single strength of tablet, usually 2.5mg, to reduce the risk of harm from errors.']","the british national formulary (bnf) states that methotrexate should only usually be prescribed in a single strength of tablet, usually 2.5mg, to reduce the risk of harm from errors."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,An NHS inquiry was convened in 2000 following the death of a patient who had accidentally taken a high dose of methotrexate daily.,an nhs inquiry was convened in 2000 following the death of a patient who had accidentally taken a high dose of methotrexate daily.,['an nhs inquiry was convened in 2000 following the death of a patient who had accidentally taken a high dose of methotrexate daily.'],an nhs inquiry was convened in 2000 following the death of a patient who had accidentally taken a high dose of methotrexate daily.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,The inquiry made 28 recommendations to minimise the future risk of harm [ 2 ] and the (now defunct) National Patient Safety Agency (NPSA - see box 1 ) issued a national level patient safety alert in 2006 accompanied by a series of guides and recommendations to reduce the risk of harm to patients.,the inquiry made 28 recommendations to minimise the future risk of harm [ 2 ] and the (now defunct) national patient safety agency (npsa - see box 1 ) issued a national level patient safety alert in 2006 accompanied by a series of guides and recommendations to reduce the risk of harm to patients.,['the inquiry made 28 recommendations to minimise the future risk of harm [ 2 ] and the (now defunct) national patient safety agency (npsa - see box 1 ) issued a national level patient safety alert in 2006 accompanied by a series of guides and recommendations to reduce the risk of harm to patients.'],the inquiry made 28 recommendations to minimise the future risk of harm [ 2 ] and the (now defunct) national patient safety agency (npsa - see box 1 ) issued a national level patient safety alert in 2006 accompanied by a series of guides and recommendations to reduce the risk of harm to patients.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"[ 3 ] Similar incidents have occurred across Europe and due to the persistence of such issues, the European Medicines Agency (EMA) has launched a review of methotrexate dosing errors.","[ 3 ] similar incidents have occurred across europe and due to the persistence of such issues, the european medicines agency (ema) has launched a review of methotrexate dosing errors.","['[ 3 ] similar incidents have occurred across europe and due to the persistence of such issues, the european medicines agency (ema) has launched a review of methotrexate dosing errors.']","[ 3 ] similar incidents have occurred across europe and due to the persistence of such issues, the european medicines agency (ema) has launched a review of methotrexate dosing errors."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,There are approximately 200 CCGs in England.,there are approximately 200 ccgs in england.,['there are approximately 200 ccgs in england.'],there are approximately 200 ccgs in england.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,European Medicines Agency (EMA) An agency of the Europeaan Union responsible for evaluation of medicines.,european medicines agency (ema) an agency of the europeaan union responsible for evaluation of medicines.,['european medicines agency (ema) an agency of the europeaan union responsible for evaluation of medicines.'],european medicines agency (ema) an agency of the europeaan union responsible for evaluation of medicines.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,Office of National Statistics (ONS) the UK’s largest independent producer of official statistics.,office of national statistics (ons) the uk’s largest independent producer of official statistics.,['office of national statistics (ons) the uk’s largest independent producer of official statistics.'],office of national statistics (ons) the uk’s largest independent producer of official statistics.
