title,source,sentence,normalized_text,sentence_list,candidate_blocks,candidate_block
Dengue nowcasting in Brazil by combining official surveillance data and Google Trends information,medrxiv,Surveillance systems are crucial for dengue prevention and control.,surveillance systems are crucial for dengue prevention and control.,['surveillance systems are crucial for dengue prevention and control.'],['surveillance systems are crucial for dengue prevention and control.'],surveillance systems are crucial for dengue prevention and control.
Dengue nowcasting in Brazil by combining official surveillance data and Google Trends information,medrxiv,"Unfortunately, traditional systems often rely on delayed data, limiting their effectiveness.","unfortunately, traditional systems often rely on delayed data, limiting their effectiveness.","['unfortunately, traditional systems often rely on delayed data, limiting their effectiveness.']","['unfortunately, traditional systems often rely on delayed data, limiting their effectiveness.']","unfortunately, traditional systems often rely on delayed data, limiting their effectiveness."
Dengue nowcasting in Brazil by combining official surveillance data and Google Trends information,medrxiv,"This study evaluates how Google Trends indices of dengue-related keywords can complement official dengue data to improve nowcasting of dengue in Brazil, a country frequently affected by this disease.","this study evaluates how google trends indices of dengue-related keywords can complement official dengue data to improve nowcasting of dengue in brazil, a country frequently affected by this disease.","['this study evaluates how google trends indices of dengue-related keywords can complement official dengue data to improve nowcasting of dengue in brazil, a country frequently affected by this disease.']","['this study evaluates how google trends indices of dengue-related keywords can complement official dengue data to improve nowcasting of dengue in brazil, a country frequently affected by this disease.']","this study evaluates how google trends indices of dengue-related keywords can complement official dengue data to improve nowcasting of dengue in brazil, a country frequently affected by this disease."
Dengue nowcasting in Brazil by combining official surveillance data and Google Trends information,medrxiv,"We compare the performance of various nowcasting approaches that incorporate Google Trends data with other approaches that rely solely on official reported cases data, assessing their accuracy and uncertainty in nowcasting weekly dengue cases from March to June 2024 across Brazilian states.","we compare the performance of various nowcasting approaches that incorporate google trends data with other approaches that rely solely on official reported cases data, assessing their accuracy and uncertainty in nowcasting weekly dengue cases from march to june 2024 across brazilian states.","['we compare the performance of various nowcasting approaches that incorporate google trends data with other approaches that rely solely on official reported cases data, assessing their accuracy and uncertainty in nowcasting weekly dengue cases from march to june 2024 across brazilian states.']","['we compare the performance of various nowcasting approaches that incorporate google trends data with other approaches that rely solely on official reported cases data, assessing their accuracy and uncertainty in nowcasting weekly dengue cases from march to june 2024 across brazilian states.']","we compare the performance of various nowcasting approaches that incorporate google trends data with other approaches that rely solely on official reported cases data, assessing their accuracy and uncertainty in nowcasting weekly dengue cases from march to june 2024 across brazilian states."
Dengue nowcasting in Brazil by combining official surveillance data and Google Trends information,medrxiv,"To support real-time decision-making, we also present Dengue Tracker, a website that displays weekly dengue nowcasts offering valuable insights into dengue activity levels.","to support real-time decision-making, we also present dengue tracker, a website that displays weekly dengue nowcasts offering valuable insights into dengue activity levels.","['to support real-time decision-making, we also present dengue tracker, a website that displays weekly dengue nowcasts offering valuable insights into dengue activity levels.']","['to support real-time decision-making, we also present dengue tracker, a website that displays weekly dengue nowcasts offering valuable insights into dengue activity levels.']","to support real-time decision-making, we also present dengue tracker, a website that displays weekly dengue nowcasts offering valuable insights into dengue activity levels."
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review

BackgroundMalaria Early Warning Systems(EWS) are predictive tools that often use climatic and environmental variables to forecast malaria risk and trigger timely interventions.","advancing early warning systems for malaria: progress, challenges, and future directions - a scoping review backgroundmalaria early warning systems(ews) are predictive tools that often use climatic and environmental variables to forecast malaria risk and trigger timely interventions.","['advancing early warning systems for malaria: progress, challenges, and future directions - a scoping review backgroundmalaria early warning systems(ews) are predictive tools that often use climatic and environmental variables to forecast malaria risk and trigger timely interventions.']","['advancing early warning systems for malaria: progress, challenges, and future directions - a scoping review backgroundmalaria early warning systems(ews) are predictive tools that often use climatic and environmental variables to forecast malaria risk and trigger timely interventions.']","advancing early warning systems for malaria: progress, challenges, and future directions - a scoping review backgroundmalaria early warning systems(ews) are predictive tools that often use climatic and environmental variables to forecast malaria risk and trigger timely interventions."
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,"Despite their potential benefits, the development and implementation of malaria EWS face significant challenges and limitations.","despite their potential benefits, the development and implementation of malaria ews face significant challenges and limitations.","['despite their potential benefits, the development and implementation of malaria ews face significant challenges and limitations.']","['despite their potential benefits, the development and implementation of malaria ews face significant challenges and limitations.']","despite their potential benefits, the development and implementation of malaria ews face significant challenges and limitations."
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,"We reviewed the current evidence on malaria EWS, including their settings, methods, performance, actions, and evaluation.","we reviewed the current evidence on malaria ews, including their settings, methods, performance, actions, and evaluation.","['we reviewed the current evidence on malaria ews, including their settings, methods, performance, actions, and evaluation.']","['we reviewed the current evidence on malaria ews, including their settings, methods, performance, actions, and evaluation.']","we reviewed the current evidence on malaria ews, including their settings, methods, performance, actions, and evaluation."
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,MethodsWe conducted a comprehensive literature search using keywords related to EWS and malaria in various databases and registers.,methodswe conducted a comprehensive literature search using keywords related to ews and malaria in various databases and registers.,['methodswe conducted a comprehensive literature search using keywords related to ews and malaria in various databases and registers.'],['methodswe conducted a comprehensive literature search using keywords related to ews and malaria in various databases and registers.'],methodswe conducted a comprehensive literature search using keywords related to ews and malaria in various databases and registers.
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,We included primary research and programmatic reports focused on developing and implementing Malaria EWS.,we included primary research and programmatic reports focused on developing and implementing malaria ews.,['we included primary research and programmatic reports focused on developing and implementing malaria ews.'],['we included primary research and programmatic reports focused on developing and implementing malaria ews.'],we included primary research and programmatic reports focused on developing and implementing malaria ews.
